phi,thetha,r,t
-60.3455312154085,90.2944612122755,645129.339203561,84.5999999999995
-60.3364889675409,90.2947173517663,645092.594887837,84.6999999999995
-60.3274456869569,90.2949735131576,645055.781810828,84.7999999999995
-60.3184013715509,90.2952296965003,645018.899965644,84.8999999999995
-60.3093560192159,90.2954859018449,644981.949345383,84.9999999999994
-60.3003096278438,90.2957421292423,644944.929943126,85.0999999999994
-60.2912621953252,90.2959983787433,644907.841751945,85.1999999999994
-60.2822137195495,90.2962546503987,644870.684764892,85.2999999999994
-60.2731641984047,90.2965109442594,644833.458975009,85.3999999999994
-60.2641136297779,90.2967672603763,644796.164375323,85.4999999999994
-60.2550620115546,90.2970235988002,644758.800958846,85.5999999999994
-60.2460093416192,90.297279959582,644721.368718578,85.6999999999994
-60.236955617855,90.2975363427728,644683.867647504,85.7999999999994
-60.2279008381437,90.2977927484235,644646.297738594,85.8999999999994
-60.2188450003661,90.298049176585,644608.658984806,85.9999999999994
-60.2097881024015,90.2983056273085,644570.951379081,86.0999999999994
-60.2007301421281,90.2985621006448,644533.17491435,86.1999999999994
-60.1916711174227,90.2988185966452,644495.329583526,86.2999999999994
-60.1826110261609,90.2990751153607,644457.415379509,86.3999999999994
-60.173549866217,90.2993316568423,644419.432295188,86.4999999999994
-60.1644876354642,90.2995882211413,644381.380323433,86.5999999999994
-60.1554243317741,90.2998448083088,644343.259457104,86.6999999999993
-60.1463599530172,90.300101418396,644305.069689045,86.7999999999993
-60.1372944970628,90.3003580514541,644266.811012086,86.8999999999993
-60.1282279617788,90.3006147075344,644228.483419043,86.9999999999993
-60.1191603450318,90.300871386688,644190.086902718,87.0999999999993
-60.1100916446873,90.3011280889664,644151.621455899,87.1999999999993
-60.1010218586092,90.3013848144207,644113.08707136,87.2999999999993
-60.0919509846603,90.3016415631024,644074.48374186,87.3999999999993
-60.082879020702,90.3018983350628,644035.811460145,87.4999999999993
-60.0720773757434,90.3022040619732,643997.070218946,87.5999999999993
-60.0647318141968,90.3024119490252,643958.26001098,87.6999999999993
-60.0556565673663,90.3026687911301,643919.380828951,87.7999999999993
-60.0465802219593,90.3029256567194,643880.432665546,87.8999999999993
-60.0375027758307,90.3031825458445,643841.415513441,87.9999999999993
-60.028424226834,90.303439458557,643802.329365296,88.0999999999993
-60.0193445728216,90.3036963949085,643763.174213758,88.1999999999993
-60.0102638116445,90.3039533549504,643723.950051457,88.2999999999993
-60.0011819411522,90.3042103387344,643684.656871013,88.3999999999993
-59.9920989591931,90.3044673463121,643645.294665029,88.4999999999992
-59.9830148636142,90.3047243777351,643605.863426093,88.5999999999992
-59.973929652261,90.304981433055,643566.363146782,88.6999999999992
-59.964843322978,90.3052385123237,643526.793819656,88.7999999999992
-59.955755873608,90.3054956155927,643487.155437261,88.8999999999992
-59.9466673019927,90.3057527429139,643447.447992131,88.9999999999992
-59.9375776059723,90.3060098943389,643407.671476783,89.0999999999992
-59.9284867833858,90.3062670699197,643367.825883721,89.1999999999992
-59.9193948320708,90.3065242697079,643327.911205434,89.2999999999992
-59.9103017498634,90.3067814937555,643287.927434398,89.3999999999992
-59.9012075345985,90.3070387421143,643247.874563074,89.4999999999992
-59.8921121841096,90.3072960148362,643207.752583909,89.5999999999992
-59.8830156962288,90.3075533119732,643167.561489333,89.6999999999992
-59.873918068787,90.3078106335771,643127.301271767,89.7999999999992
-59.8648192996134,90.3080679797,643086.971923613,89.8999999999992
-59.8557193865361,90.3083253503939,643046.57343726,89.9999999999992
-59.8466183273818,90.3085827457108,643006.105805085,90.0999999999992
-59.8375161199756,90.3088401657027,642965.569019446,90.1999999999992
-59.8284127621415,90.3090976104217,642924.963072691,90.2999999999991
-59.819308251702,90.30935507992,642884.287957151,90.3999999999991
-59.8102025864781,90.3096125742496,642843.543665145,90.4999999999991
-59.8010957642896,90.3098700934628,642802.730188974,90.5999999999991
-59.7919877829548,90.3101276376117,642761.847520928,90.6999999999991
-59.7828786402906,90.3103852067485,642720.895653281,90.7999999999991
-59.7737683341125,90.3106428009255,642679.874578293,90.8999999999991
-59.7646568622346,90.3109004201949,642638.784288209,90.9999999999991
-59.7555442224697,90.3111580646091,642597.624775261,91.0999999999991
-59.7464304126289,90.3114157342203,642556.396031664,91.1999999999991
-59.7373154305223,90.311673429081,642515.098049622,91.2999999999991
-59.7281992739582,90.3119311492434,642473.730821322,91.3999999999991
-59.7190819407437,90.31218889476,642432.294338937,91.4999999999991
-59.7099634286844,90.3124466656833,642390.788594626,91.5999999999991
-59.7008437355846,90.3127044620656,642349.213580533,91.6999999999991
-59.6917228592469,90.3129622839596,642307.569288788,91.7999999999991
-59.6826007974727,90.3132201314176,642265.855711506,91.8999999999991
-59.6734775480619,90.3134780044922,642224.072840788,91.999999999999
-59.664353108813,90.313735903236,642182.220668721,92.099999999999
-59.655227477523,90.3139938277017,642140.299187376,92.199999999999
-59.6461006519874,90.3142517779417,642098.30838881,92.299999999999
-59.6369726300004,90.3145097540088,642056.248265067,92.399999999999
-59.6278434093546,90.3147677559557,642014.118808173,92.499999999999
-59.6187129878413,90.315025783835,641971.920010144,92.599999999999
-59.6095813632502,90.3152838376996,641929.651862977,92.699999999999
-59.6004485333697,90.3155419176021,641887.314358657,92.799999999999
-59.5913144959864,90.3158000235954,641844.907489155,92.899999999999
-59.582179248886,90.3160581557322,641802.431246425,92.999999999999
-59.5730427898522,90.3163163140655,641759.885622408,93.099999999999
-59.5639051166674,90.3165744986481,641717.27060903,93.199999999999
-59.5547662271127,90.3168327095329,641674.586198203,93.299999999999
-59.5456261189674,90.3170909467729,641631.832381824,93.399999999999
-59.5364847900096,90.3173492104209,641589.009151774,93.499999999999
-59.5273422380158,90.3176075005301,641546.116499921,93.599999999999
-59.5181984607611,90.3178658171534,641503.154418119,93.699999999999
-59.5090534560188,90.3181241603439,641460.122898204,93.7999999999989
-59.499907221561,90.3183825301546,641417.021932002,93.8999999999989
-59.4907597551584,90.3186409266387,641373.851511321,93.9999999999989
-59.4816110545799,90.3188993498493,641330.611627955,94.0999999999989
-59.472461117593,90.3191577998396,641287.302273683,94.1999999999989
-59.4633099419637,90.3194162766627,641243.923440271,94.2999999999989
-59.4541575254566,90.319674780372,641200.475119469,94.3999999999989
-59.4450038658346,90.3199333110205,641156.957303011,94.4999999999989
-59.4358489608592,90.3201918686617,641113.36998262,94.5999999999989
-59.4266928082904,90.3204504533488,641069.713149999,94.6999999999989
-59.4175354058865,90.3207090651351,641025.986796842,94.7999999999989
-59.4083767514046,90.3209677040741,640982.190914823,94.8999999999989
-59.3992168425999,90.3212263702192,640938.325495605,94.9999999999989
-59.3900556772263,90.3214850636237,640894.390530835,95.0999999999989
-59.380893253036,90.3217437843411,640850.386012145,95.1999999999989
-59.3717295677799,90.322002532425,640806.311931151,95.2999999999989
-59.3625646192071,90.3222613079288,640762.168279457,95.3999999999989
-59.3533984050653,90.3225201109061,640717.955048651,95.4999999999988
-59.3442309231007,90.3227789414104,640673.672230304,95.5999999999988
-59.3350621710577,90.3230377994954,640629.319815976,95.6999999999988
-59.3258921466794,90.3232966852147,640584.897797209,95.7999999999988
-59.3167208477073,90.323555598622,640540.406165531,95.8999999999988
-59.3075482718811,90.3238145397709,640495.844912457,95.9999999999988
-59.2983744169393,90.3240735087153,640451.214029485,96.0999999999988
-59.2891992806186,90.3243325055088,640406.513508098,96.1999999999988
-59.2800228606541,90.3245915302053,640361.743339765,96.2999999999988
-59.2708451547794,90.3248505828585,640316.903515942,96.3999999999988
-59.2616661607265,90.3251096635224,640271.994028065,96.4999999999988
-59.2524858762259,90.3253687722507,640227.01486756,96.5999999999988
-59.2433042990065,90.3256279090975,640181.966025837,96.6999999999988
-59.2341214267954,90.3258870741166,640136.847494288,96.7999999999988
-59.2249372573183,90.326146267362,640091.659264294,96.8999999999988
-59.2157517882993,90.3264054888878,640046.401327219,96.9999999999988
-59.2065650174608,90.326664738748,640001.073674413,97.0999999999988
-59.1973769425238,90.3269240169965,639955.67629721,97.1999999999988
-59.1881875612074,90.3271833236876,639910.209186929,97.2999999999987
-59.1789968712293,90.3274426588754,639864.672334875,97.3999999999987
-59.1698048703056,90.3277020226139,639819.065732338,97.4999999999987
-59.1606115561506,90.3279614149575,639773.389370593,97.5999999999987
-59.1514169264771,90.3282208359602,639727.643240898,97.6999999999987
-59.1422209789964,90.3284802856765,639681.827334498,97.7999999999987
-59.1330237114178,90.3287397641605,639635.941642623,97.8999999999987
-59.1238251214495,90.3289992714666,639589.986156487,97.9999999999987
-59.1146252067975,90.3292588076491,639543.96086729,98.0999999999987
-59.1054239651666,90.3295183727624,639497.865766215,98.1999999999987
-59.0962213942598,90.3297779668609,639451.700844433,98.2999999999987
-59.0870174917784,90.3300375899991,639405.466093097,98.3999999999987
